DATE,OPEN,HIGH,LOW,CLOSE,X,Mkt.RF,SMB,HML,RMW,CMA,RF,dVIX,dVIX_t1
1990-01-02,17.24,17.24,17.24,17.24,19900102,1.44,-0.67,-0.07,0.17,-0.44,0.026,NA,NA
1990-01-03,18.19,18.19,18.19,18.19,19900103,-0.06,0.72,-0.26,0.15,-0.43,0.026,0.9500000000000028,NA
1990-01-04,19.22,19.22,19.22,19.22,19900104,-0.71,0.44,-0.22,-0.06,-0.03,0.026,1.0299999999999976,0.9500000000000028
1990-01-05,20.11,20.11,20.11,20.11,19900105,-0.85,0.74,-0.21,-0.01,-0.12,0.026,0.8900000000000006,1.0299999999999976
1990-01-08,20.26,20.26,20.26,20.26,19900108,0.3,-0.4,-0.26,0.05,0.31,0.026,0.15000000000000213,0.8900000000000006
1990-01-09,22.2,22.2,22.2,22.2,19900109,-1.01,0.87,0.07,-0.1,0.14,0.026,1.9399999999999977,0.15000000000000213
1990-01-10,22.44,22.44,22.44,22.44,19900110,-0.76,-0.05,0.33,-0.27,0.4,0.026,0.240000000000002,1.9399999999999977
1990-01-11,20.05,20.05,20.05,20.05,19900111,0.23,-0.19,0.09,0.03,0.24,0.026,-2.3900000000000006,0.240000000000002
1990-01-12,24.64,24.64,24.64,24.64,19900112,-2.33,0.25,0.39,-0.35,0.26,0.026,4.59,-2.3900000000000006
1990-01-15,26.34,26.34,26.34,26.34,19900115,-0.95,0.03,0.5,-0.29,0.18,0.026,1.6999999999999993,4.59
1990-01-16,24.18,24.18,24.18,24.18,19900116,0.92,-0.71,-0.41,0.47,-0.37,0.026,-2.16,1.6999999999999993
1990-01-17,24.16,24.16,24.16,24.16,19900117,-0.76,0.95,-0.23,-0.09,0.02,0.026,-0.019999999999999574,-2.16
1990-01-18,24.34,24.34,24.34,24.34,19900118,0.05,-0.6,-0.03,0.08,0.18,0.026,0.17999999999999972,-0.019999999999999574
1990-01-19,22.5,22.5,22.5,22.5,19900119,0.31,0.08,-0.02,-0.57,0.1,0.026,-1.8399999999999999,0.17999999999999972
1990-01-22,26.7,26.7,26.7,26.7,19900122,-2.31,0.8,0.49,-0.16,0.15,0.026,4.199999999999999,-1.8399999999999999
1990-01-23,24.72,24.72,24.72,24.72,19900123,-0.07,-0.45,0.03,0.05,0.34,0.026,-1.9800000000000004,4.199999999999999
1990-01-24,25.39,25.39,25.39,25.39,19900124,-0.44,-1.09,-0.46,0.22,-0.09,0.026,0.6700000000000017,-1.9800000000000004
1990-01-25,25.63,25.63,25.63,25.63,19900125,-1.07,1.01,0.37,-0.35,0.28,0.026,0.23999999999999844,0.6700000000000017
1990-01-26,26.28,26.28,26.28,26.28,19900126,-0.36,-0.55,0.41,-0.02,0.01,0.026,0.6500000000000021,0.23999999999999844
1990-01-29,26.44,26.44,26.44,26.44,19900129,-0.34,-0.72,0.03,0.14,0.35,0.026,0.16000000000000014,0.6500000000000021
1990-01-30,27.25,27.25,27.25,27.25,19900130,-0.9,-0.7,0.56,-0.26,0.15,0.026,0.8099999999999987,0.16000000000000014
1990-01-31,25.36,25.36,25.36,25.36,19900131,1.67,-1.23,-0.16,-0.08,-0.04,0.026,-1.8900000000000006,0.8099999999999987
1990-02-01,24.87,24.87,24.87,24.87,19900201,0.08,0.58,0.01,-0.23,0,0.03,-0.48999999999999844,-1.8900000000000006
1990-02-02,24.32,24.32,24.32,24.32,19900202,0.73,0.27,-0.52,-0.14,0.07,0.03,-0.5500000000000007,-0.48999999999999844
1990-02-05,24.54,24.54,24.54,24.54,19900205,0.38,0.21,-0.28,0.01,-0.22,0.03,0.21999999999999886,-0.5500000000000007
1990-02-06,24.69,24.69,24.69,24.69,19900206,-0.54,0.57,0.15,-0.18,-0.06,0.03,0.15000000000000213,0.21999999999999886
1990-02-07,24.29,24.29,24.29,24.29,19900207,1.07,-0.39,-0.29,-0.04,-0.23,0.03,-0.40000000000000213,0.15000000000000213
1990-02-08,23.77,23.77,23.77,23.77,19900208,-0.09,0.31,-0.13,0.08,0.13,0.03,-0.5199999999999996,-0.40000000000000213
1990-02-09,23.69,23.69,23.69,23.69,19900209,0.24,0.01,0.08,-0.06,-0.24,0.03,-0.0799999999999983,-0.5199999999999996
1990-02-12,24.38,24.38,24.38,24.38,19900212,-0.94,0.53,0.19,-0.01,0.14,0.03,0.6899999999999977,-0.0799999999999983
1990-02-13,23.76,23.76,23.76,23.76,19900213,0.14,-0.48,0.13,0.06,0.12,0.03,-0.6199999999999974,0.6899999999999977
1990-02-14,22.05,22.05,22.05,22.05,19900214,0.2,-0.1,0.13,0.01,0.12,0.03,-1.7100000000000009,-0.6199999999999974
1990-02-15,19.71,19.71,19.71,19.71,19900215,0.78,-0.34,0.02,0.39,0.03,0.03,-2.34,-1.7100000000000009
1990-02-16,20.78,20.78,20.78,20.78,19900216,-0.5,0.54,0.19,-0.18,0.1,0.03,1.0700000000000003,-2.34
1990-02-20,22.78,22.78,22.78,22.78,19900220,-1.35,0.49,0.33,-0.15,0.04,0.03,2,1.0700000000000003
1990-02-21,23.89,23.89,23.89,23.89,19900221,-0.21,-0.43,0.42,-0.05,0.16,0.03,1.1099999999999994,2
1990-02-22,22.54,22.54,22.54,22.54,19900222,-0.36,0.83,0.03,0.14,-0.38,0.03,-1.3500000000000014,1.1099999999999994
1990-02-23,23.69,23.69,23.69,23.69,19900223,-0.55,-0.2,0.49,0.16,-0.01,0.03,1.1500000000000021,-1.3500000000000014
1990-02-26,23.56,23.56,23.56,23.56,19900226,1,-1.27,-0.1,0.31,-0.04,0.03,-0.13000000000000256,1.1500000000000021
1990-02-27,22.69,22.69,22.69,22.69,19900227,0.54,-0.16,-0.08,-0.06,-0.06,0.03,-0.8699999999999974,-0.13000000000000256
1990-02-28,21.99,21.99,21.99,21.99,19900228,0.53,0.13,-0.14,-0.2,-0.31,0.03,-0.7000000000000028,-0.8699999999999974
1990-03-01,21.9,21.9,21.9,21.9,19900301,0.26,-0.05,-0.13,0.1,-0.29,0.029,-0.08999999999999986,-0.7000000000000028
1990-03-02,21.34,21.34,21.34,21.34,19900302,0.8,-0.03,-0.24,0.24,-0.25,0.029,-0.5599999999999987,-0.08999999999999986
1990-03-05,22.03,22.03,22.03,22.03,19900305,-0.37,0.55,-0.12,0.17,0.03,0.029,0.6900000000000013,-0.5599999999999987
1990-03-06,20.55,20.55,20.55,20.55,19900306,1.07,-0.46,-0.38,0.26,0.14,0.029,-1.4800000000000004,0.6900000000000013
1990-03-07,19.1,19.1,19.1,19.1,19900307,-0.22,0.56,-0.27,0.03,-0.14,0.029,-1.4499999999999993,-1.4800000000000004
1990-03-08,19.74,19.74,19.74,19.74,19900308,0.84,-0.1,-0.54,0.33,-0.17,0.029,0.639999999999997,-1.4499999999999993
1990-03-09,20.3,20.3,20.3,20.3,19900309,-0.53,0.49,0.03,-0.21,-0.11,0.029,0.5600000000000023,0.639999999999997
1990-03-12,20.07,20.07,20.07,20.07,19900312,0.15,-0.16,-0.01,0.36,-0.24,0.029,-0.23000000000000043,0.5600000000000023
1990-03-13,21.05,21.05,21.05,21.05,19900313,-0.69,0.51,0.27,-0.01,-0.11,0.029,0.9800000000000004,-0.23000000000000043
1990-03-14,19.65,19.65,19.65,19.65,19900314,0.23,0.17,-0.33,-0.02,0.02,0.029,-1.4000000000000021,0.9800000000000004
1990-03-15,18.81,18.81,18.81,18.81,19900315,0.25,0.04,-0.22,0.05,-0.07,0.029,-0.8399999999999999,-1.4000000000000021
1990-03-16,17.62,17.62,17.62,17.62,19900316,0.9,-0.39,-0.59,0.14,-0.11,0.029,-1.1899999999999977,-0.8399999999999999
1990-03-19,18.29,18.29,18.29,18.29,19900319,0.38,-0.26,-0.74,0.46,-0.25,0.029,0.6699999999999982,-1.1899999999999977
1990-03-20,19.06,19.06,19.06,19.06,19900320,-0.55,0.35,0.14,0.07,-0.13,0.029,0.7699999999999996,0.6699999999999982
1990-03-21,20.1,20.1,20.1,20.1,19900321,-0.45,0.42,0,-0.11,0.08,0.029,1.0400000000000027,0.7699999999999996
1990-03-22,22.74,22.74,22.74,22.74,19900322,-1.22,0.32,0.37,0.04,0.29,0.029,2.639999999999997,1.0400000000000027
